Направление;Товар;Свойство;Строка в эталоне;Строка в проверяемом;Число в эталоне;Число в проверяемом;Дата в эталоне;Дата в проверяемом
000->091;Пропосол, аэр 50г;Иск_1-1-1-1-1-3-1-2-1_1;;;66;74,5;;
000->091;Пропосол, аэр 50г;Иск_2-1-1-4-1-2-2-2-4_1;;;42;46;;
000->091;Пропосол, аэр 50г;Иск_1-1-1-3-1-3-1-2-2_2;;;35;42;;
000->091;Пропосол, аэр 50г;Иск_5-4-3-5-3-4-4-4-8_1;;;52;58;;
000->091;Пропосол, аэр 50г;Иск_1-2-1-3-1-4-3-1-7_5;;;45;55;;
000->091;Пропосол, аэр 50г;Иск_1-2-1-3-1-4-3-1-7_9;;;54;57;;
000->091;Пропосол, аэр 50г;Иск_3-1-1-2-2-2-2-2-4_1;;;46;54;;
000->091;Пропосол, аэр 50г;Иск_1-1-2-3-2-1-2-2-5_1;;;59;74;;
000->091;Пропосол, аэр 50г;Иск_3-1-2-4-1-3-1-2-2_1;;;52;59;;
000->091;Пропосол, аэр 50г;Иск_2-1-1-3-1-1-2-2-5_2;;;33,5;36,5;;
000->091;Пропосол, аэр 50г;Иск_4-1-2-3-1-1-2-2-4_1;;;65;77;;
000->091;Пропосол, аэр 50г;Иск_2-1-1-4-1-2-2-2-5_2;;;50;55;;
000->091;Пропосол, аэр 50г;Иск_3-1-1-3-1-1-2-2-5_3;;;79;87;;
000->091;Пропосол, аэр 50г;Иск_2-1-1-4-1-1-2-2-5_1;;;60;66;;
000->091;Пропосол, аэр 50г;Свойство для поднятия версии;;;4022019,01;28012019;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-3-1-1-2-2-5_1_ЖВ;;;13;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-2-1-3-1-4-3-1-7_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-2-1-3-1-4-3-1-6_1_ЖВ;;;12;14;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-2-2-2-2-2-5_1_ЖВ;;;11;13;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-2-1-3-1-4-3-1-7_2_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-2-1-3-1-1-2-2-6_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_5-5-3-5-3-4-4-4-8_1_ЖВ;;;15;16;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-2-1-3-1-4-3-1-7_4_ЖВ;;;12;13;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-2-1-3-1-4-3-1-7_7_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-1-1-3-1-3-1-2-2_3_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-2-1-3-1-4-3-1-7_12_ЖВ;;;14;15;;
